Hotel_name,name,rating,review
Hotel Tentrem Semarang,Melyanti Liando,5.0,"I stayed in this hotel Twice. The first was on 9-10 January 2022 and the second was on 28-30 July 2022. Room is spacious, got 2 beds. Breakfast is delicious, many variation of food. The gym facilities is good, the equipment is complete and clean. The meeting room is good The lobby also very cozy. Want to back here soon...."
Hotel Tentrem Semarang,F Paul,5.0,"We enjoyed our stay here. The room is not as big as some 5 stars hotels in Java but it's very comfortable. The only difficulty I had was trying to adjust the room air conditioning. Swimming pool is nice but the breakfast buffet by the pool takes the cake. There are so many options, including Semarang specialties. I wish I could try everything! Food were laid out well and staff were accommodating."
Hotel Tentrem Semarang,Cynthia Isabella,5.0,"Two months ago, I stayed at Tentrem Hotel Semarang with my family. When we first arrived, we were immediately greeted by the bellboy, who also carried our suitcases. Then, at check-in time, we were served quickly, so we didn't have to wait too long, and after that, we were escorted immediately to our room. At night, we ordered food at the hotel via the telephone. It didn't take a long time for the food to arrive in our room. The next morning, when I had breakfast at the hotel, the waiters there greeted me with a friendly greeting and immediately escorted us to an empty seat. Then, the waiter also offered coffee or tea, and it was brought directly to our table. During our 4 days there, we were served in a professional and friendly manner. Their professionalism and great service made us want to go back there."
Hotel Tentrem Semarang,Karel K. Himawan,5.0,"The hotel that gives you a one of a kind experience! Unlike most 5-stars hotels, you can experience their authenticity in every corner of the hotel. They provide jamu and other traditional drinks in the mini bar. Semarang authentic food were provided in breakfast. Location is strategically located quite close to the heart of the city, but far enough to avoid hustle bustle of the city."
Hotel Tentrem Semarang,Francois Barbe,5.0,"First class service in a first class way. A real five stars hotel with all the amenities you dream of. Beds are soft, we sleep great. Staff at the pool or the restaurant is very helpful and friendly. A super memory for all our family.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Tentrem Semarang,Winny Rachmani,5.0,"Our stay at Hotel Tentrem was the best decision. The room is excellent. Bed is spacious (for 2 adults and 2 children). I love the view from our room (It's the iconic swimming pool). Breakfast is amazing, especially if you are into local's food."
Hotel Tentrem Semarang,Amelia,5.0,"One of the newest hotel in Semarang. A luxury hotel with traditional touch throughout, classy, elegant with characters. Staff are friendly and attentive. Great breakfast selections as they include many traditional semarang + Javanese foods. We will be back for sure."
Hotel Tentrem Semarang,Indra Nafi,5.0,"It was one of luxurious hotels in Semarang which offered the guests with convenient services. The location was strategic, the room was comfortable and super completed, and it's equipped with a shopping mall and an apartment. The breakfast menus are tasteful. Everyone enjoyed their meals, including special menus from local semarang food and beverage. However, the price for a night was a bit expensive because it made sense with the quality of service. Thank you."
Hotel Tentrem Semarang,ony,4.0,"Hotel lobby is luxury, big as five star hotel standard. They prepare welcome drink. We should wait 20 minutes to get the room key after check in. Average size room for that price, I think the room is smaller compare to other five star hotel in Jakarta or Yogja with same price. Toilet amenities are complete. Breakfast food menus and taste are standar. This hotel connected to Tentrem mall. So you can easy find food or cafe for lunch or dinner."
Hotel Tentrem Semarang,Riska Mordiana,5.0,"Great room, amazing lobby, wide variations in breakfast (western, eastern, original Semarang foods, pastries and... Ice cream!). The location is good, near Simpang Lima area. Great services from everyone too :)Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
